Date,Open,High,Low,Close,Adj Close,Volume
2023-07-14,41.841099,41.841099,41.841099,41.841099,41.841099,0
2023-07-17,41.877701,41.877701,41.877701,41.877701,41.877701,0
2023-07-18,41.886200,41.886200,41.886200,41.886200,41.886200,0
2023-07-19,41.899101,41.899101,41.899101,41.899101,41.899101,0
2023-07-20,41.909100,41.909100,41.909100,41.909100,41.909100,0
2023-07-21,41.910599,41.910599,41.910599,41.910599,41.910599,0
2023-07-24,41.933102,41.933102,41.933102,41.933102,41.933102,0
2023-07-25,41.920101,41.920101,41.920101,41.920101,41.920101,0
2023-07-26,41.933899,41.933899,41.933899,41.933899,41.933899,0
2023-07-27,41.943298,41.943298,41.943298,41.943298,41.943298,0
2023-07-28,41.925301,41.925301,41.925301,41.925301,41.925301,0
2023-07-31,41.945900,41.945900,41.945900,41.945900,41.945900,0
2023-08-01,41.966900,41.966900,41.966900,41.966900,41.966900,0
2023-08-02,41.980099,41.980099,41.980099,41.980099,41.980099,0
2023-08-03,41.976501,41.976501,41.976501,41.976501,41.976501,0
2023-08-04,41.979801,41.979801,41.979801,41.979801,41.979801,0
2023-08-07,42.008400,42.008400,42.008400,42.008400,42.008400,0
2023-08-08,42.005901,42.005901,42.005901,42.005901,42.005901,0
2023-08-09,42.009800,42.009800,42.009800,42.009800,42.009800,0
2023-08-10,42.021000,42.021000,42.021000,42.021000,42.021000,0
2023-08-11,42.032902,42.032902,42.032902,42.032902,42.032902,0
2023-08-14,42.053200,42.053200,42.053200,42.053200,42.053200,0
2023-08-16,null,null,null,null,null,null
2023-08-17,42.037800,42.037800,42.037800,42.037800,42.037800,0
2023-08-18,42.059898,42.059898,42.059898,42.059898,42.059898,0
2023-08-21,42.088200,42.088200,42.088200,42.088200,42.088200,0
2023-08-22,42.086700,42.086700,42.086700,42.086700,42.086700,0
2023-08-23,42.106701,42.106701,42.106701,42.106701,42.106701,0
2023-08-24,42.124901,42.124901,42.124901,42.124901,42.124901,0
